ymd,Í∞ïÎÇ®Íµ?Í∞ïÎèôÍµ?Í∞ïÎ∂ÅÍµ?Í∞ïÏÑúÍµ?Í¥Ä?ÖÍµ¨,Í¥ëÏßÑÍµ?Íµ¨Î°úÍµ?Í∏àÏ≤úÍµ??∏ÏõêÍµ??ÑÎ¥âÍµ??ôÎ?Î¨∏Íµ¨,?ôÏûëÍµ?ÎßàÌè¨Íµ??úÎ?Î¨∏Íµ¨,?úÏ¥àÍµ??±ÎèôÍµ??±Î∂ÅÍµ??°ÌååÍµ??ëÏ≤úÍµ??ÅÎì±?¨Íµ¨,?©ÏÇ∞Íµ??Ä?âÍµ¨,Ï¢ÖÎ°úÍµ?Ï§ëÍµ¨,Ï§ëÎûëÍµ?,,,,,,,,,,,,,,,,,,
201312,3518.320874,1988.020315,1321.056474,1494.879549,1497.247071,2090.211551,1484.561345,1843.176166,1414.353945,1219.041304,1488.295885,1912.790131,2013.602349,1470.929396,2933.507993,2059.119803,1470.614295,2860.639665,1877.39705,1829.499889,2512.417345,1505.415767,1835.568439,2085.863859,1296.241586
201401,3416.313946,1943.220386,1413.203367,1514.884096,1584.298274,2084.445199,1477.5137,1238.075115,1384.271761,1237.330449,1587.289464,1927.782757,2014.234818,1491.913119,3044.537133,1982.683404,1487.242679,2844.20077,1926.295233,1771.047614,2393.911864,1364.434891,1866.522328,2044.981606,1357.228286
201402,3419.610212,1959.160154,1413.296741,1572.712111,1546.462809,2206.742923,1435.79066,1227.698269,1385.742023,1233.342539,1485.474654,1936.443003,2028.290952,1524.240861,2972.502825,2074.426518,1462.403999,2784.15897,1910.493387,2126.388606,3237.533296,1389.146676,1819.533111,2012.70492,1386.686298
201403,3328.289712,1900.345526,1310.884223,1521.364328,1549.424634,2122.540927,1416.295313,1244.31033,1355.618738,1228.39475,1498.292152,1904.592805,2008.426313,1459.961124,2911.830002,2014.36944,1501.074626,2694.038813,1827.212921,1777.010761,2487.225102,1424.499511,1830.940373,1950.663623,1340.279323
201404,3376.840171,1940.163063,1379.99318,1530.857818,1542.342769,2058.437314,1539.656553,1239.076923,1384.094083,1228.034201,1531.212757,1947.4893,1982.082502,1510.640982,2844.667681,1994.05947,1519.282796,2786.014449,1846.142211,1780.870099,2851.584772,1393.261179,2036.841409,2006.416926,1344.08521
201405,3426.105145,1942.832359,1422.513154,1486.631183,1617.216442,2142.944904,1506.514813,1243.725267,1379.239957,1181.507469,1586.163117,1894.748958,2014.511758,1531.803861,2896.868978,1959.434764,1534.903355,2668.172428,1848.771499,1722.923814,2325.443083,1449.358834,1868.823111,1977.647813,1335.210722
201406,3451.375887,1955.121022,1387.188345,1492.998839,1783.478117,2071.163802,1492.777111,1228.091493,1368.366746,1209.336956,1559.191651,1930.491299,1961.826632,1525.746318,2972.546971,1920.750018,1516.699608,2709.197343,1870.466869,1759.064559,2360.01922,1388.744175,1937.546267,1984.851918,1309.018801
201407,3470.101642,1995.894005,1399.701752,1508.989801,1582.651189,2146.780535,1577.845729,1280.775804,1371.328699,1232.96668,1538.05841,1940.530556,2097.255339,1596.854873,3043.705596,1988.204882,1517.523562,2719.433373,1867.82568,1831.069701,2365.753577,1419.450877,2097.184158,2037.036192,1316.385146
201408,3512.580341,1953.045783,1382.42093,1589.542531,1584.620125,2160.938588,1492.550232,1436.564346,1403.09897,1232.429793,1650.092218,1977.593772,2089.786909,1600.953583,3101.069514,2111.983829,1485.331703,2766.162299,1954.245939,1791.974885,2471.868452,1424.332296,1908.172775,2055.556143,1366.530112
201409,3433.497083,1973.637431,1432.614088,1535.949678,1550.890065,2142.626552,1495.286929,1730.491028,1386.534284,1239.181063,1579.46688,2000.060768,2060.460869,1632.105613,3094.924757,2068.359751,1497.334205,2788.571485,2075.853398,1840.526422,2421.762574,1419.650916,1906.526361,1985.056549,1365.386225
201410,3371.747874,1940.14544,1424.104821,1582.503353,1619.554899,2244.828281,1468.253846,1546.391514,1394.971504,1226.335778,1573.269305,1944.801973,2016.329026,1748.859102,3067.871992,2091.699321,1521.664875,2775.157139,1882.738232,1926.920992,2549.917305,1471.428196,2002.42446,2015.464924,1355.315346
201411,3437.717553,1931.015954,1374.6112,1569.689668,1608.300289,2240.715395,1454.642769,1631.635023,1421.26046,1257.980559,1583.028007,1934.010115,2034.790528,1627.751692,3003.654284,2078.251633,1483.870712,2567.350993,1798.597978,1880.174614,2385.677443,1662.594815,1874.135193,1989.587816,1412.350201
